id,layer,expert,decision,active_runs,early_only_runs,later_active_runs,total_early_count,total_later_count,early_only_rate_active,later_share,trim_decision,personal_classification,early_only_labels,later_active_labels
L17.E083,17,83,keep_runtime_later_used,10,9,1,11,1,0.9,0.08333333333333333,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,personal_research_reasoning_off_timeline4
L19.E112,19,112,keep_runtime_later_used,13,8,5,21,7,0.6153846153846154,0.25,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L25.E083,25,83,keep_runtime_later_used,13,8,5,15,5,0.6153846153846154,0.25,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L08.E009,8,9,keep_runtime_later_used,13,8,5,14,5,0.6153846153846154,0.2631578947368421,keep,ordinary,agent_orchestration_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4
L23.E126,23,126,keep_runtime_later_used,13,7,6,22,8,0.5384615384615384,0.26666666666666666,keep,ordinary,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,agent_orchestration_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L14.E087,14,87,keep_runtime_later_used,12,7,5,18,5,0.5833333333333334,0.21739130434782608,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
L11.E002,11,2,keep_runtime_later_used,13,7,6,14,18,0.5384615384615384,0.5625,keep,ordinary,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,agent_orchestration_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4
L03.E040,3,40,keep_runtime_later_used,13,6,7,13,11,0.46153846153846156,0.4583333333333333,keep,ordinary,eval_design_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4
L19.E052,19,52,keep_runtime_later_used,13,5,8,66,8,0.38461538461538464,0.10810810810810811,keep,ordinary,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,agent_orchestration_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4
L28.E055,28,55,keep_runtime_later_used,13,5,8,52,16,0.38461538461538464,0.23529411764705882,keep,ordinary,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,agent_orchestration_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4
